short_id,id,label,aliases,layer,polarity,human_role,compute,state,safety_surface,tags
A,prompt_chaining,Prompt Chaining,Chain Composition|Task Decomposition|Multi-step Prompting|Stepwise Orchestration,reasoning_core,fluxus,none,medium,stateless,medium,layer=reasoning_core;polarity=fluxus;human_role=none;compute=medium;state=stateless;safety_surface=medium
B,routing,Routing,Skill Routing|Policy Router|Tool Router|Agent Router,coordination,latticus,none,low,stateless,medium,layer=coordination;polarity=latticus;human_role=none;compute=low;state=stateless;safety_surface=medium
C,parallelization,Parallelization,Concurrency|Batching|Sharding|Fan-out,coordination,latticus,none,high,stateless,low,layer=coordination;polarity=latticus;human_role=none;compute=high;state=stateless;safety_surface=low
D,reflection,Reflection,Self-Reflection|Self-critique|Deliberate Second Pass|Audit Pass,reasoning_core,fluxus,optional,medium,stateless,medium,layer=reasoning_core;polarity=fluxus;human_role=optional;compute=medium;state=stateless;safety_surface=medium
E,tool_use,Tool Use,External Tools|API Calls|Function Calling|Plugins,planning_control,latticus,none,high,cacheable,high,layer=planning_control;polarity=latticus;human_role=none;compute=high;state=cacheable;safety_surface=high
F,planning,Planning,Task Planning|Plan-and-Act|Decomposition Planning|Project Planner,planning_control,latticus,optional,medium,stateful,medium,layer=planning_control;polarity=latticus;human_role=optional;compute=medium;state=stateful;safety_surface=medium
G,multi_agent_collaboration,Multi-Agent Collaboration,Swarms|Agent Teams|Agent Mesh|Orchestrated Agents,coordination,latticus,optional,high,stateful,medium,layer=coordination;polarity=latticus;human_role=optional;compute=high;state=stateful;safety_surface=medium
H,memory_management,Memory Management,Long-Term Memory|Working Memory|Context Cache|Vector Store,memory_learning,fluxus,none,medium,stateful,medium,layer=memory_learning;polarity=fluxus;human_role=none;compute=medium;state=stateful;safety_surface=medium
I,learning_adaptation,Learning and Adaptation,Continuous Improvement|Policy Update|Parameter Update|Self-Tuning,memory_learning,fluxus,optional,medium,stateful,high,layer=memory_learning;polarity=fluxus;human_role=optional;compute=medium;state=stateful;safety_surface=high
J,goal_setting_monitoring,Goal Setting and Monitoring,OKRs|Objectives|Target Tracking|Milestone Tracking,planning_control,latticus,optional,low,stateful,medium,layer=planning_control;polarity=latticus;human_role=optional;compute=low;state=stateful;safety_surface=medium
K,exception_handling_recovery,Exception Handling and Recovery,Fallbacks|Retries|Circuit Breaker|Timeout Recovery,oversight_safety,latticus,optional,low,cacheable,high,layer=oversight_safety;polarity=latticus;human_role=optional;compute=low;state=cacheable;safety_surface=high
L,human_in_the_loop,Human-in-the-Loop,HITL|Reviewer|Approval Gate|Escalation,oversight_safety,latticus,required,low,stateless,high,layer=oversight_safety;polarity=latticus;human_role=required;compute=low;state=stateless;safety_surface=high
M,retrieval_rag,Retrieval - RAG,Retrieval Augmented Generation|Knowledge Retrieval|Context Injection|Document Grounding,memory_learning,latticus,none,high,cacheable,medium,layer=memory_learning;polarity=latticus;human_role=none;compute=high;state=cacheable;safety_surface=medium
N,inter_agent_communication,Inter-Agent Communication,Agent Messaging|Protocol Bus|Blackboard|Pub/Sub,coordination,latticus,optional,low,stateful,medium,layer=coordination;polarity=latticus;human_role=optional;compute=low;state=stateful;safety_surface=medium
O,resource_aware_optimization,Resource-Aware Optimization,Budgeting|Latency-Cost Tradeoff|Compute Allocation|Knob Tuning,planning_control,latticus,none,high,cacheable,medium,layer=planning_control;polarity=latticus;human_role=none;compute=high;state=cacheable;safety_surface=medium
P,prioritization,Prioritization,Ranking|Queue Ordering|Scheduling|Greedy Selection,planning_control,latticus,optional,low,stateless,medium,layer=planning_control;polarity=latticus;human_role=optional;compute=low;state=stateless;safety_surface=medium
Q,evaluation_monitoring,Evaluation and Monitoring,Evals|Telemetry|Metrics|A/B Tests,oversight_safety,latticus,optional,medium,stateful,high,layer=oversight_safety;polarity=latticus;human_role=optional;compute=medium;state=stateful;safety_surface=high
R,guardrails_safety,Guardrails and Safety,Policy Enforcement|Content Filters|Safety Checks|Red Teaming,oversight_safety,latticus,optional,low,stateless,high,layer=oversight_safety;polarity=latticus;human_role=optional;compute=low;state=stateless;safety_surface=high
S,reasoning_techniques,Reasoning Techniques,Tree-of-Thought|Graph-of-Thought|Scratchpad|Debate,reasoning_core,fluxus,none,medium,stateless,low,layer=reasoning_core;polarity=fluxus;human_role=none;compute=medium;state=stateless;safety_surface=low
T,exploration_discovery,Exploration and Discovery,Hypothesis Generation|Search|Divergent Thinking|Probing,reasoning_core,fluxus,optional,medium,stateless,low,layer=reasoning_core;polarity=fluxus;human_role=optional;compute=medium;state=stateless;safety_surface=low
