ID,Label,WeightedOut,WeightedIn,PageRank
A,Prompt Chaining,2.4,1.2,0.011738
B,Routing,2.2,0.9,0.035267
C,Parallelization,2.15,0.7,0.009153
D,Reflection,2.15,1.7,0.013998
E,Tool Use,2.4,1.6,0.035689
F,Planning,3.1,3.7,0.053459
G,Multi-Agent Collaboration,2.9,2.35,0.033412
H,Memory Management,2.3,1.5,0.021664
I,Learning and Adaptation,2.2,1.7,0.072303
J,Goal Setting and Monitoring,1.6,1.65,0.04098
K,Exception Handling and Recovery,2.4,4.8,0.120547
L,Human-in-the-Loop,2.1,3.7,0.088268
M,Retrieval - RAG,1.5,1.5,0.016122
N,Inter-Agent Communication,2.2,2.2,0.040382
O,Resource-Aware Optimization,2.3,2.9,0.083482
P,Prioritization,2.2,2.15,0.05371
Q,Evaluation and Monitoring,2.2,7.75,0.167943
R,Guardrails and Safety,3.0,3.6,0.085468
S,Reasoning Techniques,2.2,0.6,0.008917
T,Exploration and Discovery,2.7,0.0,0.0075
